-1.000000,1.000000
-1.587785,0.809017
-1.951057,0.309017
-1.951057,-0.309017
-1.587785,-0.809017
-1.000000,-1.000000
-0.412215,-0.809017
-0.048943,-0.309017
-0.048943,0.309017
-0.412215,0.809017
-1.000000,1.500000
-1.881678,1.213525
-2.426585,0.463525
-2.426585,-0.463525
-1.881678,-1.213525
-1.000000,-1.500000
-0.118322,-1.213525
0.426585,-0.463525
0.426585,0.463525
-0.118322,1.213525
0.000000,3.000000
-1.763356,2.427051
-2.853170,0.927051
-2.853170,-0.927051
-1.763356,-2.427051
-0.000000,-3.000000
1.763356,-2.427051
2.853170,-0.927051
2.853170,0.927051
1.763356,2.427051
1.000000,1.000000
0.412215,0.809017
0.048943,0.309017
0.048943,-0.309017
0.412215,-0.809017
1.000000,-1.000000
1.587785,-0.809017
1.951057,-0.309017
1.951057,0.309017
1.587785,0.809017
1.000000,1.500000
0.118322,1.213525
-0.426585,0.463525
-0.426585,-0.463525
0.118322,-1.213525
1.000000,-1.500000
1.881678,-1.213525
2.426585,-0.463525
2.426585,0.463525
1.881678,1.213525
